annotator_id,class_id,specificity,sensitivity
annotator1,DO,0.8575367928653401,0.7178710609802189
annotator1,DN,0.8999904447205115,0.8749825800449113
annotator2,DO,0.8533393699617688,0.6436431222625623
annotator2,DN,0.7999902755194105,0.8749830751278558
annotator3,DO,0.8330083902786386,0.6629013760838434
annotator3,DN,0.8999904447205115,0.8749825800449113
annotator4,DO,0.8561618422852355,0.779610962067221
annotator4,DN,0.799992652008719,0.6249878121557868
annotator5,DO,0.5382922687792028,0.06724535929269024
annotator5,DN,0.5999924657424103,0.3749907589432007
annotator6,DO,0.857930145522133,0.7187525888954848
annotator6,DN,0.800009156736473,0.7500075595760471
annotator7,DO,0.8089981234418637,0.5442716144566203
annotator7,DN,0.7000086563409725,0.7500076406712578
annotator8,DO,0.7976592136461053,0.32439665405255735
annotator8,DN,0.5000022980695812,0.875000222869326
annotator9,DO,0.735214850944757,0.5085611870298788
annotator9,DN,0.7999932120011658,0.6249885121374423
annotator10,DO,0.8882123260386784,0.7866168501365395
annotator10,DN,0.8999904447205115,0.8749825800449113
annotator11,DO,0.9747004383077142,0.9483978276547872
annotator11,DN,0.9090556105891151,0.7494289770831961
annotator12,DO,0.5747927974745313,0.049993306589539176
annotator12,DN,0.7272985007193316,0.7497275318733257
annotator13,DO,0.924763369697941,0.8486863002831798
annotator13,DN,0.9090556105891151,0.7494289770831961
annotator14,DO,0.6746555239023792,0.24939357690626646
annotator14,DN,0.7272393668131422,0.7495650731252271
annotator15,DO,0.7248335957172887,0.2996405975008921
annotator15,DN,0.5454945498014779,0.5000772111424316
annotator16,DO,0.9000957760149729,0.7494857094800219
annotator16,DN,0.8182080742801318,0.7496634720371459
annotator17,DO,0.8498179153823092,0.5492022509628944
annotator17,DN,0.6362845661262942,0.7495048803498124
annotator18,DO,0.9253197889862138,0.7998515985845225
annotator18,DN,0.7273827576762826,0.5001388222731146
annotator19,DO,0.5747773798530227,0.09990824996047352
annotator19,DN,0.7272967907906005,0.49990264520439365
annotator20,DO,0.7499082088483795,0.299762445005487
annotator20,DN,0.5454840593170762,0.7498685795817799
annotator21,DO,0.938657291741993,0.7680338870862286
annotator21,DN,0.7514978866413371,0.8338781387918824
annotator22,DO,0.6034937379117014,0.054906806797925096
annotator22,DN,0.5845538642711818,0.8340218199592146
annotator23,DO,0.8471324483853553,0.7679925391065469
annotator23,DN,0.9164912469088202,0.6638857900778591
annotator24,DO,0.9386043003717071,0.8777454328770256
annotator24,DN,0.9163942231657871,0.8296646996537382
annotator25,DO,0.8542502523845926,0.8357086002973251
annotator25,DN,0.9164916206685294,0.4979147894930801
annotator26,DO,0.8166747289431288,0.6033593698564569
annotator26,DN,0.8350038853273349,0.8338738480733818
annotator27,DO,0.823807180225475,0.7260052644463117
annotator27,DN,0.8329833139608208,0.497914493038322
annotator28,DO,0.5425240234410791,0.05496357105808002
annotator28,DN,0.6658727218832361,0.6636988617766618
annotator29,DO,0.6401115797189513,0.06591826806617146
annotator29,DN,0.5010462258630136,0.8340228517440333
annotator30,DO,0.945023329820441,0.8343967118648885
annotator30,DN,0.8329601353381723,0.8298119125835273
annotator31,DO,0.7499801321242469,0.3888639384259362
annotator31,DN,0.5000061283377848,0.8333322347179113
annotator32,DO,0.8332627530081077,0.8332466190571599
annotator32,DN,0.9166626995606395,0.6666353624611864
annotator33,DO,0.7916572109468755,0.7222153143944607
annotator33,DN,0.9166455250148072,0.8332610048232038
annotator34,DO,0.8331342005788798,0.7775190407146295
annotator34,DN,0.9166455250148072,0.8332610048232038
annotator35,DO,0.7916159785242605,0.7221603367638262
annotator35,DN,0.8333238899756136,0.6666277492546026
annotator36,DO,0.9580835969975847,0.9441214697896251
annotator36,DN,0.9166455250148072,0.8332610048232038
annotator37,DO,0.9165027582258314,0.7220107599326668
annotator37,DN,0.6666650780487736,0.8333101244568536
annotator38,DO,0.5000653166204373,0.05563771630605861
annotator38,DN,0.41667893498026587,0.6666878631807193
annotator39,DO,0.708386304087983,0.6667414552015791
annotator39,DN,0.8333303214642884,0.49998062206948884
annotator40,DO,0.833327487238578,0.4999959023811066
annotator40,DN,0.4166892794109116,0.6667085507987033
annotator41,DO,0.5757687610107833,0.047621475948017654
annotator41,DN,0.5333415491093014,0.6664260412430092
annotator42,DO,0.9393627190712911,0.9523677602402408
annotator42,DN,0.9333145258931439,0.3328639418532938
annotator43,DO,0.9696963857514247,0.8095542359473543
annotator43,DN,0.7333713159996251,0.6662929893047594
annotator44,DO,0.9090893691840525,0.8095502957481268
annotator44,DN,0.8667273091977641,0.6662183405825172
annotator45,DO,0.909021605676965,0.8570647663204314
annotator45,DN,0.9333138725488002,0.6657246225050056
annotator46,DO,0.6969063339398132,0.19037208596372776
annotator46,DN,0.4666748876580087,0.6665199455718218
annotator47,DO,0.9393166871727655,0.9046744565457654
annotator47,DN,0.9333138725488002,0.6657246225050056
annotator48,DO,0.48486230503858085,0.0476219600225305
annotator48,DN,0.7333051064028554,0.6659625007288817
annotator49,DO,0.818179060504177,0.6190608727988219
annotator49,DN,0.8000432111048039,0.6662252090259908
annotator50,DO,0.8787148882518103,0.7618158267670865
annotator50,DN,0.8666405662928282,0.6657853589526865
annotator51,DO,0.8474404589705856,0.5092797519165421
annotator51,DN,0.6652854025284097,0.8998743148379036
annotator52,DO,0.9727809799926009,0.8661417769373592
annotator52,DN,0.6652854025284097,0.8998743148379036
annotator53,DO,0.8390192108800558,0.5578908279645811
annotator53,DN,0.6679328780236269,0.8013435188017823
annotator54,DO,0.9153220488435161,0.77513569856547
annotator54,DN,0.6653511273514536,0.7997893231741983
annotator55,DO,0.5163796164367467,0.14740354194748154
annotator55,DN,0.6680565646109794,0.1005460744585204
annotator56,DO,0.8883720712300222,0.553230237739165
annotator56,DN,0.498264813752667,0.8994536603306211
annotator57,DO,0.6443493200276242,0.43916366884403385
annotator57,DN,0.5017348358427333,0.10054612872829048
annotator58,DO,0.8221707945892385,0.5099210261246898
annotator58,DN,0.8309070189990044,0.8994527979212732
annotator59,DO,0.7620856732717657,0.26626271782946725
annotator59,DN,0.49899267148716625,0.7997672679921548
annotator60,DO,0.8492903961536242,0.6597218808284747
